Symbol,Exchange,Currency
AAPL,SMART,USD
MSFT,SMART,USD
AMZN,SMART,USD
GOOGL,SMART,USD
GOOG,SMART,USD
TSLA,SMART,USD
NVDA,SMART,USD
META,SMART,USD
JPM,SMART,USD
UNH,SMART,USD
V,SMART,USD
MA,SMART,USD
PG,SMART,USD
HD,SMART,USD
BAC,SMART,USD
XOM,SMART,USD
DIS,SMART,USD
PFE,SMART,USD
KO,SMART,USD
CVX,SMART,USD
MRK,SMART,USD
ABT,SMART,USD
WMT,SMART,USD
NFLX,SMART,USD
INTC,SMART,USD
ORCL,SMART,USD
NKE,SMART,USD
TMO,SMART,USD
MCD,SMART,USD
MDT,SMART,USD
CSCO,SMART,USD
VZ,SMART,USD
ADBE,SMART,USD
CRM,SMART,USD
BMY,SMART,USD
LLY,SMART,USD
QCOM,SMART,USD
ACN,SMART,USD
AMGN,SMART,USD
HON,SMART,USD
COST,SMART,USD
IBM,SMART,USD
AVGO,SMART,USD
TXN,SMART,USD
AMT,SMART,USD
UPS,SMART,USD
PYPL,SMART,USD
UNP,SMART,USD
SBUX,SMART,USD
MMM,SMART,USD
INTU,SMART,USD
CAT,SMART,USD
LIN,SMART,USD
GS,SMART,USD
SCHW,SMART,USD
RTX,SMART,USD
SPGI,SMART,USD
T,SMART,USD
ADP,SMART,USD
BLK,SMART,USD
GILD,SMART,USD
C,SMART,USD
PLD,SMART,USD
DE,SMART,USD
NOW,SMART,USD
ISRG,SMART,USD
MDLZ,SMART,USD
FIS,SMART,USD
GE,SMART,USD
MO,SMART,USD
CB,SMART,USD
BKNG,SMART,USD
ZTS,SMART,USD
FISV,SMART,USD
LRCX,SMART,USD
ITW,SMART,USD
CL,SMART,USD
EL,SMART,USD
SO,SMART,USD
ANTM,SMART,USD
ADI,SMART,USD
ATVI,SMART,USD
SYK,SMART,USD
CI,SMART,USD
MS,SMART,USD
DHR,SMART,USD
GM,SMART,USD
BD,SMART,USD
MU,SMART,USD
TGT,SMART,USD
DUK,SMART,USD
PEP,SMART,USD
MMC,SMART,USD
SHW,SMART,USD
AON,SMART,USD
EQIX,SMART,USD
AXP,SMART,USD
EW,SMART,USD
SLB,SMART,USD
CSX,SMART,USD
FCX,SMART,USD
ECL,SMART,USD
HCA,SMART,USD
TFC,SMART,USD
APD,SMART,USD
COF,SMART,USD
GPN,SMART,USD
PGR,SMART,USD
KMB,SMART,USD
SYY,SMART,USD
VRTX,SMART,USD
OXY,SMART,USD
NEM,SMART,USD
LLY,SMART,USD
MMM,SMART,USD
HLT,SMART,USD
ETN,SMART,USD
ICE,SMART,USD
ADI,SMART,USD
MET,SMART,USD
PXD,SMART,USD
TEL,SMART,USD
HES,SMART,USD
MCO,SMART,USD
SRE,SMART,USD
IT,SMART,USD
VLO,SMART,USD
KLAC,SMART,USD
AIG,SMART,USD
STZ,SMART,USD
ELV,SMART,USD
CTAS,SMART,USD
WBA,SMART,USD
CPB,SMART,USD
MAR,SMART,USD
HOG,SMART,USD
FITB,SMART,USD
MRNA,SMART,USD
ZBH,SMART,USD
DD,SMART,USD
ADM,SMART,USD
GIS,SMART,USD
KHC,SMART,USD
EW,SMART,USD
MNST,SMART,USD
TRV,SMART,USD
F,SMART,USD
D,SMART,USD
ROP,SMART,USD
A,SMART,USD
LMT,SMART,USD
VTR,SMART,USD
PSA,SMART,USD
EXC,SMART,USD
AFL,SMART,USD
PAYX,SMART,USD
TEL,SMART,USD
AEE,SMART,USD
NOC,SMART,USD
PNW,SMART,USD
DXC,SMART,USD
APH,SMART,USD
JNJ,SMART,USD
BK,SMART,USD
AAL,SMART,USD
PNC,SMART,USD
RMD,SMART,USD
WRB,SMART,USD
ALGN,SMART,USD
K,SMART,USD
KR,SMART,USD
ETR,SMART,USD
ATO,SMART,USD
CCI,SMART,USD
RSG,SMART,USD
CF,SMART,USD
WM,SMART,USD
CSCO,SMART,USD
PFG,SMART,USD
HSY,SMART,USD
DOW,SMART,USD
KMI,SMART,USD
EOG,SMART,USD
WEC,SMART,USD
TEL,SMART,USD
PSA,SMART,USD
WMB,SMART,USD
DTE,SMART,USD
XEL,SMART,USD
PEG,SMART,USD
ETN,SMART,USD
AEP,SMART,USD
